2022 Light-Duty Vehicle Registration Counts by State and Fuel Type,,,,,,,,,,,,
State,Electric (EV),Plug-In Hybrid Electric (PHEV),Hybrid Electric (HEV),Biodiesel,Ethanol/Flex (E85),Compressed Natural Gas (CNG),Propane,Hydrogen,Methanol,Gasoline,Diesel,Unknown Fuel
Alabama,"8,700","4,400","50,800","48,100","449,800",100,100,0,0,"4,077,100","126,100","30,300"
Alaska,"2,000",700,"9,000","8,700","48,600",0,0,0,0,"457,100","30,500","5,500"
Arizona,"65,800","20,400","150,800","61,200","446,000",600,800,0,0,"5,476,100","198,700","70,100"
Arkansas,"5,100","2,500","30,600","33,300","283,900",200,0,0,0,"2,229,500","89,700","10,600"
California,"903,600","361,100","1,514,000","183,900","1,338,000","10,300","1,500","14,900",0,"31,059,000","725,300","8,200"
Colorado,"59,900","24,000","131,800","62,100","346,400",300,100,0,0,"4,506,300","206,800","49,400"
Connecticut,"22,000","13,100","64,500","10,100","139,800",200,0,0,0,"2,636,300","44,100","21,200"
Delaware,"5,400","2,800","19,500","4,700","66,200",0,0,0,0,"795,400","14,500","5,100"
District of Columbia,"5,900","3,200","17,200",400,"17,800",100,0,0,0,"272,200","2,000",600
Florida,"168,000","45,800","338,700","150,900","1,137,200",400,100,0,0,"15,846,500","343,500","97,200"
Georgia,"60,100","18,100","147,200","82,500","745,000",300,300,0,0,"8,204,500","205,900","78,500"
Hawaii,"19,800","5,600","32,600","3,100","39,900",0,0,0,0,"960,000","15,500","4,000"
Idaho,"5,900","3,500","36,500","40,300","133,300",100,100,0,0,"1,545,500","136,000","33,000"
Illinois,"66,900","25,700","244,100","55,400","807,900",300,0,0,0,"8,606,400","171,300","59,500"
Indiana,"17,700","10,100","100,900","49,100","587,100",300,0,0,0,"5,116,800","153,500","58,900"
Iowa,"6,200","4,900","48,600","37,000","338,900",100,0,0,0,"2,521,300","103,000","58,200"
Kansas,"7,600","4,300","43,500","25,000","260,100",200,100,0,0,"2,159,200","87,000","17,600"
Kentucky,"7,600","4,400","55,800","32,300","363,800",300,0,0,0,"3,368,800","115,800","25,800"
Louisiana,"5,900","2,900","31,400","60,100","397,500",100,0,0,0,"3,159,000","115,400","19,900"
Maine,"5,000","5,700","28,900","10,500","109,100",0,0,0,0,"1,028,100","26,800","7,900"
Maryland,"46,100","22,900","146,200","30,300","326,900",300,0,0,0,"4,373,900","88,400","31,800"
Massachusetts,"49,400","30,500","158,600","19,500","297,000",200,0,0,0,"4,777,600","59,300","30,200"
Michigan,"33,100","24,300","122,800","62,800","905,700",300,100,0,0,"7,071,800","175,400","49,600"
Minnesota,"24,300","11,900","105,300","46,900","531,500",100,0,0,0,"4,180,500","127,300","25,600"
Mississippi,"2,400","1,600","22,300","31,600","302,000",100,0,0,0,"2,275,400","75,400","9,100"
Missouri,"17,900","10,400","95,100","61,300","576,700","1,200",100,0,0,"4,444,600","176,200","38,900"
Montana,"3,300","1,700","17,100","33,200","98,000",0,0,0,0,"765,400","69,900","11,000"
Nebraska,"4,600","2,900","27,300","25,600","201,800",100,0,0,0,"1,576,900","75,100","25,900"
Nevada,"32,900","8,800","59,100","24,700","130,700",200,100,0,0,"2,157,700","85,200","21,300"
New Hampshire,"7,000","4,800","31,100","12,900","95,400",100,0,0,0,"1,180,700","29,400","12,300"
New Jersey,"87,000","26,800","142,600","25,900","404,200",300,0,0,0,"6,339,500","85,500","36,900"
New Mexico,"7,100","3,900","37,600","28,600","155,900",100,100,0,0,"1,584,500","88,000","23,600"
New York,"84,700","59,800","259,600","48,400","633,100",400,100,0,0,"9,987,400","152,000","80,800"
North Carolina,"45,600","18,800","175,300","71,300","675,300",300,100,0,0,"7,700,300","209,600","73,700"
North Dakota,600,600,"6,600","18,300","93,500",0,0,0,0,"614,300","43,800","7,800"
Ohio,"34,100","17,800","165,700","63,400","868,500",700,100,0,0,"8,868,300","197,000","62,700"
Oklahoma,"16,300","11,500","47,000","60,200","380,800","2,000",300,0,0,"3,538,100","147,500","46,200"
Oregon,"47,000","22,500","138,900","50,200","186,300",100,100,0,0,"3,065,400","216,100","53,200"
Pennsylvania,"47,400","25,400","199,600","68,100","698,500",500,100,0,0,"8,888,900","191,700","45,100"
Rhode Island,"4,300","3,400","18,600","2,800","43,100",0,0,0,0,"782,500","11,200","6,100"
South Carolina,"13,500","6,700","66,800","38,300","411,400",100,100,0,0,"4,254,700","107,600","45,500"
South Dakota,"1,200","1,000","10,300","20,000","105,700",0,0,0,0,"739,400","53,000","14,500"
Tennessee,"22,000","8,900","94,000","45,700","519,400",100,100,0,0,"5,536,100","157,700","38,600"
Texas,"149,000","42,800","361,800","420,800","2,398,800","1,400","1,400",0,0,"21,065,800","771,000","133,200"
Utah,"28,000","10,200","69,300","61,500","189,900","2,300",600,0,0,"2,454,700","155,000","26,000"
Vermont,"5,300","4,200","17,800","6,400","40,000",0,0,0,0,"501,500","14,700","5,100"
Virginia,"56,600","21,700","198,400","40,000","496,200",300,0,0,0,"6,643,300","153,700","31,900"
Washington,"104,100","31,400","270,200","67,500","348,300",100,100,0,0,"5,650,700","277,400","52,700"
West Virginia,"1,900","1,400","18,300","15,600","127,500",100,0,0,0,"1,267,500","45,700","10,900"
Wisconsin,"15,700","10,000","105,200","46,500","549,700",300,0,0,0,"4,577,400","144,500","26,900"
Wyoming,800,600,"6,900","19,100","58,600",0,0,0,0,"483,000","61,200","14,200"
